session_date,candidate_id,trades,net_pnl,stress_pnl
2026-05-15,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,321.02,319.02
2026-05-18,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,114.01999999999998,112.01999999999998
2026-05-19,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,103.02,101.02
2026-05-20,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-13.479999999999999,-15.479999999999999
2026-05-21,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,27.519999999999982,25.519999999999982
2026-05-22,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,158.51999999999998,156.51999999999998
2026-05-25,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-128.98,-130.98
2026-05-26,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-70.47999999999999,-72.47999999999999
2026-05-27,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,1,-141.24,-142.24
2026-05-28,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,206.01999999999998,204.01999999999998
2026-05-29,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-420.48,-422.48
2026-06-01,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,161.01999999999998,159.01999999999998
2026-06-02,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,30.02,28.02
2026-06-03,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-40.98,-42.98
2026-06-04,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,103.52000000000001,101.52000000000001
2026-06-05,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,124.52,122.52
2026-06-08,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-148.98000000000002,-150.98000000000002
2026-06-09,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,1400.52,1398.52
2026-06-10,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-360.48,-362.48
2026-06-11,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-705.48,-707.48
2026-06-12,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-398.98,-400.98
2026-06-15,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,47.02,45.02
2026-06-17,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-544.48,-546.48
2026-06-18,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-137.98000000000002,-139.98000000000002
2026-06-19,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-143.48,-145.48
2026-06-22,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-501.98,-503.98
2026-06-23,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-527.48,-529.48
2026-06-24,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,1,-262.24,-263.24
2026-06-25,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-526.48,-528.48
2026-06-26,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,1,173.76,172.76
2026-06-29,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-302.98,-304.98
2026-06-30,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,214.51999999999998,212.51999999999998
2026-07-01,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-297.98,-299.98
2026-07-02,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-385.98,-387.98
2025-07-15,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,-165.48,-167.48
2025-07-16,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,-242.98000000000002,-244.98000000000002
2025-07-17,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,110.02000000000001,108.02000000000001
2025-07-21,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,1,9.26,8.26
2025-07-22,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,1,-78.74,-79.74
2025-07-23,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,187.01999999999998,185.01999999999998
2025-07-24,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,1,22.76,21.76
2025-07-25,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,1,-20.24,-21.24
2025-07-30,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,-35.980000000000004,-37.980000000000004
2025-07-31,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,1,69.26,68.26
2025-08-01,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,1,-198.24,-199.24
2025-08-04,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,15.52,13.52
2025-08-05,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,1,44.26,43.26
2025-08-06,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,88.01999999999998,86.01999999999998
2025-08-07,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,-154.48000000000002,-156.48000000000002
2025-08-08,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,-2.480000000000004,-4.480000000000004
2025-08-11,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,1,-44.74,-45.74
2025-08-12,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,165.52,163.52
2025-08-13,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,1,114.76,113.76
2025-08-14,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,-171.48000000000002,-173.48000000000002
2025-08-15,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,20.52,18.52
2025-08-18,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,1,10.26,9.26
2025-08-19,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,-112.47999999999999,-114.47999999999999
2025-08-20,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,-239.98000000000002,-241.98000000000002
2025-08-21,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,10.019999999999996,8.019999999999996
2025-08-22,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,-58.47999999999999,-60.47999999999999
2025-08-25,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,121.02000000000001,119.02000000000001
2025-08-26,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,2.5199999999999996,0.5199999999999996
2025-08-27,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,21.520000000000003,19.520000000000003
2025-08-28,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,-40.480000000000004,-42.480000000000004
2025-08-29,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,1,-78.24,-79.24
2025-09-02,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,30.020000000000003,28.020000000000003
2025-09-03,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,-299.48,-301.48
2025-09-04,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,65.52,63.519999999999996
2025-09-05,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,1,-33.74,-34.74
2025-09-08,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,23.020000000000003,21.020000000000003
2025-09-10,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,-14.979999999999999,-16.979999999999997
2025-09-11,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,1,43.26,42.26
2025-09-12,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,9.020000000000001,7.020000000000001
2025-09-15,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,-6.98,-8.98
2025-09-16,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,1,-15.24,-16.24
2025-09-18,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,1,-18.24,-19.24
2025-09-22,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,101.02000000000001,99.02000000000001
2025-09-23,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,1,209.26,208.26
2025-09-24,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,1,202.76,201.76
2025-09-25,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,1,51.76,50.76
2025-09-26,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,1,-3.24,-4.24
2025-09-30,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,-209.48,-211.48
2025-10-01,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,8.520000000000003,6.520000000000003
2025-10-02,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,-125.48,-127.48
2025-10-03,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,-49.980000000000004,-51.980000000000004
2025-10-06,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,1,-46.24,-47.24
2025-10-07,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,1,-98.74,-99.74
2025-10-08,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,15.52,13.52
2025-10-10,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,-172.98000000000002,-174.98000000000002
2025-10-13,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,-213.98000000000002,-215.98000000000002
2025-10-14,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,146.51999999999998,144.51999999999998
2025-10-15,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,1,-34.24,-35.24
2025-10-16,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,-35.98000000000002,-37.98000000000002
2025-10-17,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,-367.98,-369.98
2025-10-20,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,68.52000000000001,66.52000000000001
2025-10-21,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,-90.97999999999999,-92.97999999999999
2025-10-22,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,-40.98000000000002,-42.98000000000002
2025-10-23,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,-49.480000000000004,-51.480000000000004
