audit,portfolio_set,portfolio_mode,fold,is_weak_fold,module_group,phase,net_pnl_contribution
B,diversifier_only_phase13a,one_trade_at_a_time_chronological,6,True,phase13a prior RTH high/low breakout,phase13a,26.12
B,diversifier_only_phase13a,one_trade_at_a_time_chronological,6,True,phase14a prior RTH midpoint/close reaction,phase14a,1166.76
B,diversifier_only_phase13a,one_trade_at_a_time_chronological,6,True,phase15a trend/power continuation,phase15a,1165.46
B,audit_a_best_reconstructed,raw_sum_diagnostic,1,True,phase10b overnight/prior-level branch,phase10b,-3465.39
B,audit_a_best_reconstructed,raw_sum_diagnostic,1,True,phase11a opening range fade,phase11a,-1774.34
B,audit_a_best_reconstructed,raw_sum_diagnostic,1,True,phase12a opening-drive pullback,phase12a,314.53
B,audit_a_best_reconstructed,raw_sum_diagnostic,1,True,phase13a prior RTH high/low breakout,phase13a,-275.68
B,audit_a_best_reconstructed,raw_sum_diagnostic,1,True,phase14a prior RTH midpoint/close reaction,phase14a,100.0
B,audit_a_best_reconstructed,raw_sum_diagnostic,1,True,phase15a trend/power continuation,phase15a,-348.28
B,audit_a_best_plus_phase13a,raw_sum_diagnostic,1,True,phase10b overnight/prior-level branch,phase10b,-3465.39
B,audit_a_best_plus_phase13a,raw_sum_diagnostic,1,True,phase11a opening range fade,phase11a,-1774.34
B,audit_a_best_plus_phase13a,raw_sum_diagnostic,1,True,phase12a opening-drive pullback,phase12a,314.53
B,audit_a_best_plus_phase13a,raw_sum_diagnostic,1,True,phase13a prior RTH high/low breakout,phase13a,-275.68
B,audit_a_best_plus_phase13a,raw_sum_diagnostic,1,True,phase14a prior RTH midpoint/close reaction,phase14a,100.0
B,audit_a_best_plus_phase13a,raw_sum_diagnostic,1,True,phase15a trend/power continuation,phase15a,-348.28
B,top_cross_family_plus_phase13a,raw_sum_diagnostic,1,True,phase10b overnight/prior-level branch,phase10b,-3465.39
B,top_cross_family_plus_phase13a,raw_sum_diagnostic,1,True,phase11a opening range fade,phase11a,-1774.34
B,top_cross_family_plus_phase13a,raw_sum_diagnostic,1,True,phase12a opening-drive pullback,phase12a,314.53
B,top_cross_family_plus_phase13a,raw_sum_diagnostic,1,True,phase13a prior RTH high/low breakout,phase13a,-275.68
B,top_cross_family_plus_phase13a,raw_sum_diagnostic,1,True,phase14a prior RTH midpoint/close reaction,phase14a,100.0
B,top_cross_family_plus_phase13a,raw_sum_diagnostic,1,True,phase15a trend/power continuation,phase15a,-348.28
B,diversifier_only_phase13a,raw_sum_diagnostic,1,True,phase10b overnight/prior-level branch,phase10b,-3465.39
B,diversifier_only_phase13a,raw_sum_diagnostic,1,True,phase11a opening range fade,phase11a,-1774.34
B,diversifier_only_phase13a,raw_sum_diagnostic,1,True,phase12a opening-drive pullback,phase12a,314.53
B,diversifier_only_phase13a,raw_sum_diagnostic,1,True,phase13a prior RTH high/low breakout,phase13a,-275.68
B,diversifier_only_phase13a,raw_sum_diagnostic,1,True,phase14a prior RTH midpoint/close reaction,phase14a,100.0
B,diversifier_only_phase13a,raw_sum_diagnostic,1,True,phase15a trend/power continuation,phase15a,-348.28
B,all_parked_modules_with_phase13a,raw_sum_diagnostic,1,True,phase10b overnight/prior-level branch,phase10b,-3465.39
B,all_parked_modules_with_phase13a,raw_sum_diagnostic,1,True,phase11a opening range fade,phase11a,-1774.34
B,all_parked_modules_with_phase13a,raw_sum_diagnostic,1,True,phase12a opening-drive pullback,phase12a,314.53
B,all_parked_modules_with_phase13a,raw_sum_diagnostic,1,True,phase13a prior RTH high/low breakout,phase13a,-275.68
B,all_parked_modules_with_phase13a,raw_sum_diagnostic,1,True,phase14a prior RTH midpoint/close reaction,phase14a,100.0
B,all_parked_modules_with_phase13a,raw_sum_diagnostic,1,True,phase15a trend/power continuation,phase15a,-348.28
B,rare_plus_diversifier_modules,raw_sum_diagnostic,1,True,phase10b overnight/prior-level branch,phase10b,-3465.39
B,rare_plus_diversifier_modules,raw_sum_diagnostic,1,True,phase11a opening range fade,phase11a,-1774.34
B,rare_plus_diversifier_modules,raw_sum_diagnostic,1,True,phase12a opening-drive pullback,phase12a,314.53
B,rare_plus_diversifier_modules,raw_sum_diagnostic,1,True,phase13a prior RTH high/low breakout,phase13a,-275.68
B,rare_plus_diversifier_modules,raw_sum_diagnostic,1,True,phase14a prior RTH midpoint/close reaction,phase14a,100.0
B,rare_plus_diversifier_modules,raw_sum_diagnostic,1,True,phase15a trend/power continuation,phase15a,-348.28
B,greedy_low_correlation_with_phase13a,raw_sum_diagnostic,1,True,phase10b overnight/prior-level branch,phase10b,-3465.39
B,greedy_low_correlation_with_phase13a,raw_sum_diagnostic,1,True,phase11a opening range fade,phase11a,-1774.34
B,greedy_low_correlation_with_phase13a,raw_sum_diagnostic,1,True,phase12a opening-drive pullback,phase12a,314.53
B,greedy_low_correlation_with_phase13a,raw_sum_diagnostic,1,True,phase13a prior RTH high/low breakout,phase13a,-275.68
B,greedy_low_correlation_with_phase13a,raw_sum_diagnostic,1,True,phase14a prior RTH midpoint/close reaction,phase14a,100.0
B,greedy_low_correlation_with_phase13a,raw_sum_diagnostic,1,True,phase15a trend/power continuation,phase15a,-348.28
B,all_parked_modules_with_phase13a,raw_sum_diagnostic,2,True,phase10b overnight/prior-level branch,phase10b,-2697.0
B,all_parked_modules_with_phase13a,raw_sum_diagnostic,2,True,phase11a opening range fade,phase11a,2291.74
B,all_parked_modules_with_phase13a,raw_sum_diagnostic,2,True,phase12a opening-drive pullback,phase12a,94.03
B,all_parked_modules_with_phase13a,raw_sum_diagnostic,2,True,phase13a prior RTH high/low breakout,phase13a,475.24
B,all_parked_modules_with_phase13a,raw_sum_diagnostic,2,True,phase14a prior RTH midpoint/close reaction,phase14a,204.37
